,title,Directed by,Screenplay by,Based on,Produced by,Starring,Cinematography,Edited by,Music by,Production company,Distributed by,Release dates,Running time,Country,Language,Budget,Box office,Written by,Production companies,Story by
0,Iron Man,Jon Favreau,"['Mark Fergus Hawk Ostby', 'Art Marcum Matt Holloway']","['Stan Lee', 'Larry Lieber', 'Don Heck', 'Jack Kirby']","['Avi Arad', 'Kevin Feige']","['Robert Downey Jr.', 'Terrence Howard', 'Jeff Bridges', 'Shaun Toub', 'Gwyneth Paltrow']",Matthew Libatique,Dan Lebental,Ramin Djawadi,Marvel Studios,Paramount Pictures,"['April 14, 2008 (Sydney)', 'May 2, 2008 (United States)']",126 minutes,United States,English,$140 million,$585.8 million,,,
1,The Incredible Hulk,Louis Leterrier,,"['Stan Lee', 'Jack Kirby']","['Avi Arad', 'Gale Anne Hurd', 'Kevin Feige']","['Edward Norton', 'Liv Tyler', 'Tim Roth', 'Tim Blake Nelson', 'Ty Burrell', 'William Hurt']",Peter Menzies Jr.,"['John Wright', 'Rick Shaine', 'Vincent Tabaillon']",Craig Armstrong,,Universal Pictures,"['June 8, 2008 ( Gibson Amphitheatre )', 'June 13, 2008 (United States)']",112 minutes,United States,English,$137.5–150 million,$264.8 million,Zak Penn,"['Marvel Studios', 'Valhalla Motion Pictures']",
2,Iron Man 2,Jon Favreau,Justin Theroux,"['Stan Lee', 'Larry Lieber', 'Don Heck', 'Jack Kirby']",Kevin Feige,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Scarlett Johansson', 'Sam Rockwell', 'Mickey Rourke', 'Samuel L. Jackson']",Matthew Libatique,"['Dan Lebental', 'Richard Pearson']",John Debney,Marvel Studios,Paramount Pictures,"['April 26, 2010 ( El Capitan Theatre )', 'May 7, 2010 (United States)']",125 minutes,United States,English,$170–200 million,$623.9 million,,,
3,Thor,Kenneth Branagh,"['Ashley Edward Miller', 'Zack Stentz', 'Don Payne']","['Stan Lee', 'Larry Lieber', 'Jack Kirby']",Kevin Feige,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Stellan Skarsgård', 'Colm Feore', 'Ray Stevenson', 'Idris Elba', 'Kat Dennings', 'Rene Russo', 'Anthony Hopkins']",Haris Zambarloukos,Paul Rubell,Patrick Doyle,Marvel Studios,Paramount Pictures,"['April 17, 2011 ( Sydney )', 'May 6, 2011 (United States)']",114 minutes,United States,English,$150 million,$449.3 million,,,"['J. Michael Straczynski', 'Mark Protosevich']"
4,Captain America: The First Avenger,Joe Johnston,Christopher Markus Stephen McFeely,"['Joe Simon', 'Jack Kirby']",Kevin Feige,"['Chris Evans', 'Tommy Lee Jones', 'Hugo Weaving', 'Hayley Atwell', 'Sebastian Stan', 'Dominic Cooper', 'Neal McDonough', 'Derek Luke', 'Stanley Tucci']",Shelly Johnson,"['Jeffrey Ford', 'Robert Dalva']",Alan Silvestri,Marvel Studios,Paramount Pictures,"['July 19, 2011 ( El Capitan Theatre )', 'July 22, 2011 (United States)']",124 minutes,United States,English,$140–216.7 million,$370.6 million,,,
5,The Avengers,Joss Whedon,Joss Whedon,"['Stan Lee', 'Jack Kirby']",Kevin Feige,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Tom Hiddleston', 'Clark Gregg', 'Cobie Smulders', 'Stellan Skarsgård', 'Samuel L. Jackson']",Seamus McGarvey,"['Jeffrey Ford', 'Lisa Lassek']",Alan Silvestri,Marvel Studios,Walt Disney Studios Motion Pictures,"['April 11, 2012 ( El Capitan Theatre )', 'May 4, 2012 (United States)']",143 minutes,United States,English,$220 million,$1.519 billion,,,"['Zak Penn', 'Joss Whedon']"
6,Iron Man 3,Shane Black,"['Shane Black', 'Drew Pearce']","['Stan Lee', 'Don Heck', 'Larry Lieber', 'Jack Kirby']",Kevin Feige,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Guy Pearce', 'Rebecca Hall', 'Stéphanie Szostak', 'James Badge Dale', 'Jon Favreau', 'Ben Kingsley']",John Toll,"['Jeffrey Ford', 'Peter S. Elliot']",Brian Tyler,Marvel Studios,Walt Disney Studios Motion Pictures,"['April 14, 2013 ( Grand Rex )', 'May 3, 2013 (United States)']",131 minutes,United States,English,$200 million,$1.215 billion,,,
7,Thor: The Dark World,Alan Taylor,"['Christopher Yost', 'Christopher Markus Stephen McFeely']","['Stan Lee', 'Larry Lieber', 'Jack Kirby']",Kevin Feige,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Stellan Skarsgård', 'Idris Elba', 'Christopher Eccleston', 'Adewale Akinnuoye-Agbaje', 'Kat Dennings', 'Ray Stevenson', 'Zachary Levi', 'Tadanobu Asano', 'Jaimie Alexander', 'Rene Russo', 'Anthony Hopkins']",Kramer Morgenthau,"['Dan Lebental', 'Wyatt Smith']",Brian Tyler,Marvel Studios,Walt Disney Studios Motion Pictures,"['October 22, 2013 ( Leicester Square )', 'November 8, 2013 (United States)']",112 minutes,United States,English,$150–170 million,$644.8 million,,,"['Don Payne', 'Robert Rodat']"
8,Captain America: The Winter Soldier,"['Anthony Russo', 'Joe Russo']","['Christopher Markus', 'Stephen McFeely']","['Joe Simon', 'Jack Kirby']",Kevin Feige,"['Chris Evans', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie', 'Cobie Smulders', 'Frank Grillo', 'Emily VanCamp', 'Hayley Atwell', 'Robert Redford', 'Samuel L. Jackson']",Trent Opaloch,"['Jeffrey Ford', 'Matthew Schmidt']",Henry Jackman,Marvel Studios,Walt Disney Studios Motion Pictures,"['March 13, 2014 ( El Capitan Theatre )', 'April 4, 2014 (United States)']",136 minutes,United States,English,$170–177 million,$714.4 million,,,
9,Guardians of the Galaxy,James Gunn,,"['Dan Abnett', 'Andy Lanning']",Kevin Feige,"['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Lee Pace', 'Michael Rooker', 'Karen Gillan', 'Djimon Hounsou', 'John C. Reilly', 'Glenn Close', 'Benicio del Toro']",Ben Davis,"['Fred Raskin', 'Craig Wood', 'Hughes Winborne']",Tyler Bates,Marvel Studios,Walt Disney Studios Motion Pictures,"['July 21, 2014 ( Dolby Theatre )', 'August 1, 2014 (United States)']",122 minutes,United States,English,"['$232.3 million (gross)', '$195.9 million (net)']",$773.3 million,"['James Gunn', 'Nicole Perlman']",,
